                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.4709,                 1.8266,                 2.1467,                0.83257,                0.85833,                0.95362,                0.67518,                 1.1691,                 1.1646,                 1.9604,             0.00082972,             0.00082972,             0.00082972
                     45,                 1.5533,                 1.7494,                 2.2115,                0.87813,                0.81478,                0.96212,                0.66202,                 1.2387,                 1.0726,                 2.0114,             0.00082576,             0.00082576,             0.00082576
                     46,                 1.5377,                 1.7944,                 2.1747,                0.90911,                0.89822,                 0.9786,                0.72041,                 1.0936,                0.97497,                 1.8997,              0.0008218,              0.0008218,              0.0008218
                     47,                  1.415,                 1.7259,                 2.1286,                0.78276,                0.88315,                0.95507,                0.67302,                 1.1723,                 1.1256,                 1.9476,             0.00081784,             0.00081784,             0.00081784
                     48,                 1.3857,                 1.6973,                 2.1115,                0.83683,                0.84657,                0.94795,                0.70302,                 1.0752,                 1.2692,                 1.8555,             0.00081388,             0.00081388,             0.00081388
                     49,                 1.3864,                 1.5998,                 2.1009,                 0.9381,                0.94261,                0.97543,                0.69283,                 1.2117,                0.96639,                 1.9342,             0.00080992,             0.00080992,             0.00080992
                     50,                 1.5355,                 1.8019,                 2.1506,                0.96695,                0.91651,                0.97863,                0.71683,                  1.094,                0.92417,                 1.9159,             0.00080596,             0.00080596,             0.00080596
                     51,                 1.4249,                 1.5806,                 2.0913,                0.86975,                0.96909,                 0.9707,                0.68752,                 1.2338,                0.92585,                 1.9791,               0.000802,               0.000802,               0.000802
                     52,                 1.3628,                 1.6049,                  2.045,                0.84682,                0.91051,                0.96119,                0.68115,                 1.1246,                 1.1049,                 1.9128,             0.00079804,             0.00079804,             0.00079804
                     53,                 1.4427,                 1.6712,                 2.0889,                0.90618,                0.92801,                0.97637,                0.71314,                 1.0902,                0.94669,                 1.8637,             0.00079408,             0.00079408,             0.00079408
